facility_name,bus_num,gen_id,gen_owner,bus_basekv,criteria_nlo,criteria_nhi,criteria_elo,criteria_ehi,pmin,pmax,qmin,qmax,remote_bus,schdvolt,stat,pout,qout,terminalvolt,remote_voltage,violate
POINTDUBOIS,669798,14,14,6.5999999,0.94999999,1.04999995,0.89999998,1.10000002,0,5.9000001,-2.70000005,2.70000005,669798,1.02999997,0,0,0,0,1.02999997,
POINTDUBOIS,669799,15,14,6.5999999,0.94999999,1.04999995,0.89999998,1.10000002,0,5.9000001,-2.70000005,2.70000005,669799,1.02999997,0,0,0,0,0,
POINTDUBOIS,669799,16,14,6.5999999,0.94999999,1.04999995,0.89999998,1.10000002,0,5.9000001,-2.70000005,2.70000005,669799,1.02999997,0,0,0,0,0,
SLAVE_FALLS,669804,1,15,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,9,-4.36000013,4.36000013,669804,1,0,0,0,0,1,
SLAVE_FALLS,669804,2,15,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,9,-4.36000013,4.36000013,669804,1,0,0,0,0,1,
SLAVE_FALLS,669805,3,15,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,9,-4.36000013,4.36000013,669805,1,0,0,0,0,1,
SLAVE_FALLS,669805,4,15,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,9,-4.36000013,4.36000013,669805,1,0,0,0,0,1,
SLAVE_FALLS,669806,5,15,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,9,-4.36000013,4.36000013,669806,1,0,0,0,0,1,
SLAVE_FALLS,669806,6,15,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,9,-4.36000013,4.36000013,669806,1,0,0,0,0,1,
SLAVE_FALLS,669807,7,15,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,9,-4.36000013,4.36000013,669807,1,0,0,0,0,1,
SLAVE_FALLS,669807,8,15,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,9,-4.36000013,4.36000013,669807,1,0,0,0,0,1,
7SISTERS,669808,1,16,11,0.94999999,1.04999995,0.89999998,1.10000002,0,30.00000191,-25.5,27.5,668081,1.08200002,0,0,0,0,1.08200002,
7SISTERS,669809,2,16,11,0.94999999,1.04999995,0.89999998,1.10000002,0,30.00000191,-25.5,27.5,668081,1.08200002,0,0,0,0,1.08200002,
7SISTERS,669810,3,16,11,0.94999999,1.04999995,0.89999998,1.10000002,0,30.00000191,-25.5,27.5,668081,1.08200002,0,0,0,0,1.08200002,
7SISTERS,669811,4,16,11,0.94999999,1.04999995,0.89999998,1.10000002,0,27.59999847,-17,17,668081,1.08200002,0,0,0,0,1.08200002,
7SISTERS,669812,5,16,11,0.94999999,1.04999995,0.89999998,1.10000002,0,27.59999847,-17,17,668081,1.08200002,0,0,0,0,1.08200002,
7SISTERS,669813,6,16,11,0.94999999,1.04999995,0.89999998,1.10000002,0,27.59999847,-17,17,668081,1.08200002,0,0,0,0,1.08200002,
BRANDON,669816,5,18,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,0,-58,91,668022,1.04550004,0,0,0,0,1.04550004,
BRANDON,669817,6,18,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,140,-40,88.5,668022,1.04550004,0,0,0,0,1.04550004,
