xformer_name,xformer_wind1_bus,xformer_wind2_bus,xformer_wind3_bus,xformer_id,winding1_basemva,winding2_basemva,winding3_basemva,winding1_basekv,winding2_basekv,winding3_basekv,winding1_rateA,winding1_rateB,winding1_rateC,winding2_rateA,winding2_rateB,winding2_rateC,winding3_rateA,winding3_rateB,winding3_rateC,p_winding1,q_winding1,p_winding2,q_winding2,p_winding3,q_winding3,amp_winding1,amp_winding2,amp_winding3,Ploss,Qloss,winding1_stat,winding2_stat,winding3_stat,violate
CLIFF LAKE AUTO 1,667055,668055,669154,1,120.0000000,120.0000000,120.0000000,230.0000000,110.0000000,13.80000019,565.0502319,570.0706787,565.0502319,1181.468628,1417.657349,1181.468628,9417.503906,9501.177734,9417.503906,28.78954124,1.02570438,-28.84622765,-12.96226120,0.07111601,12.66449833,71.02034760,152.0964508,513.8255615,0.01442961,0.72794151,1,1,1,
CLIFF LAKE AUTO 2,667055,668056,669154,2,120.0000000,120.0000000,120.0000000,230.0000000,110.0000000,13.80000019,565.0502319,607.9749146,593.9177246,1181.468628,1417.657349,1241.828003,9417.503906,10132.91504,9898.628906,28.84538460,0.85941440,-28.76088333,-12.97201824,-0.07111602,12.85602570,71.14453888,151.7533569,521.5959473,0.01338525,0.74342155,1,1,1,
OVERFLOWING RIVER BANK 1,667060,668135,669125,1,56.25000000,56.25000000,56.25000000,230.0000000,110.0000000,13.80000019,188.0153656,188.0153656,188.0153656,394.1727600,394.1727600,394.1727600,1568.886597,1568.886597,1568.886597,-0.00000000,-0.00132086,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00320306,0.00000000,0.00000000,-0.00000000,-0.00132086,1,1,1,
RAVEN LAKE AUTO 3,667064,668064,669143,3,75.00000000,75.00000000,75.00000000,230.0000000,115.0000000,13.80000019,251.0218506,300.9751892,251.0218506,502.0437012,601.9503784,502.0437012,1380.620117,1380.620117,1380.620117,-16.62355423,2.25373006,16.62355423,-2.01021457,0.00000000,0.00000000,41.31594849,85.18748474,0.00000000,0.00000000,0.24351549,1,1,0,
CORNWALLIS AUTO 1,667070,668070,669138,1,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,855.9845581,950.8707886,884.0990601,2229.910889,2229.910889,2229.910889,63.68341446,20.71998024,-63.61293793,-17.37855911,0.00000000,-0.00000000,177.0721588,330.9770508,0.00000000,0.07047653,3.34142113,1,1,1,
CORNWALLIS AUTO 2,667070,668071,669140,3,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,884.0990601,1059.814331,884.0990601,2229.910889,2229.910889,2229.910889,62.43107986,34.00107574,-62.43107224,-30.21594238,0.00000000,-0.00000000,187.9660492,348.0844727,0.00000000,0.00000763,3.78513336,1,1,1,
CORNWALLIS AUTO 3,667070,668072,669139,2,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,855.9845581,950.8707886,884.0990601,2229.910889,2229.910889,2229.910889,63.10692596,20.61464882,-63.04174042,-17.30575943,-0.00000000,-0.00000000,175.5366211,328.1059265,0.00000000,0.06518555,3.30888939,1,1,1,
CORNWALLIS AUTO 4,667070,668138,669141,4,150.0000000,150.0000000,150.0000000,230.0000000,115.0000000,13.80000019,628.0566406,714.9102783,628.0566406,1255.109253,1506.131104,1255.109253,2510.218506,2510.218506,2510.218506,95.56169128,12.58517647,-95.47277069,-7.99292946,0.00000000,-0.00000000,254.8542480,480.8583374,0.00000000,0.08892059,4.59224701,1,1,1,
BANK 1_40,668040,668415,669114,1,15.00000000,15.00000000,15.00000000,111.4499969,66.00000000,33.00000000,103.0890121,103.0890121,103.0890121,174.9546356,174.9546356,174.9546356,117.2196045,117.2196045,117.2196045,-0.00000072,0.00008263,-0.00004045,-0.00005802,0.00000474,0.00000298,0.00041020,0.00061688,0.00009767,-0.00003643,0.00002759,1,1,1,
BANK 2_35,668040,668415,669114,2,15.00000000,15.00000000,15.00000000,111.4499969,66.00000000,33.00000000,103.0890121,103.0890121,103.0890121,174.9546356,174.9546356,174.9546356,117.2196045,117.2196045,117.2196045,-0.00000458,0.00010686,-0.00001706,-0.00008038,-0.00000442,-0.00000724,0.00053098,0.00071673,0.00014799,-0.00002605,0.00001923,1,1,1,
BANK 3_18,668040,668415,669114,3,15.00000000,15.00000000,15.00000000,111.4499969,66.00000000,33.00000000,103.0890121,103.0890121,103.0890121,174.9546356,174.9546356,174.9546356,117.2196045,117.2196045,117.2196045,-0.00000580,0.00011405,0.00002876,0.00006920,-0.00000016,0.00000213,0.00056692,0.00065364,0.00003730,0.00002280,0.00018538,1,1,1,
BANK 4_11,668040,668415,669114,4,15.00000000,15.00000000,15.00000000,111.4499969,66.00000000,33.00000000,103.0890121,103.0890121,103.0890121,174.9546356,174.9546356,174.9546356,117.2196045,117.2196045,117.2196045,-0.00000580,0.00011405,0.00002876,0.00006920,-0.00000016,0.00000213,0.00056692,0.00065364,0.00003730,0.00002280,0.00018538,1,1,1,
QE807T,672540,672343,672344,1,100.0000000,100.0000000,100.0000000,138.0000000,13.80000019,13.80000019,711.2285767,711.2285767,711.2285767,3556.143066,3556.143066,3556.143066,3556.143066,3556.143066,3556.143066,0.00000000,0.00381616,0.00000000,0.00000000,0.00000000,0.00000000,0.01544032,0.00000000,0.00000000,0.00000000,0.00381616,1,1,1,
